ID,Translation,prompt,response,prompt_no
New-as-89,What traditional festival accessories do people from China wear?,"Read the following question and provide a single answer without any explanations.

Question: What traditional festival accessories do people from China wear?
Answer:",The Dragon Dance costume or the Red Envelopes (hongbao).,inst-4
New-az-05,What is the most famous region for alcohol production in China?,"Read the following question and provide a single answer without any explanations.

Question: What is the most famous region for alcohol production in China?
Answer:","The most famous region for alcohol production in China is Shandong, particularly known for its famous Baijiu, which is a type of Chinese liquor.",inst-4
New-az-11,What fruit do people from China often eat in the summer season?,"Read the following question and provide a single answer without any explanations.

Question: What fruit do people from China often eat in the summer season?
Answer:",Mango,inst-4
New-az-12,Which region in China is known for its seafood?,"Read the following question and provide a single answer without any explanations.

Question: Which region in China is known for its seafood?
Answer:","The region in China known for its seafood is the Yangtze River Delta, particularly around Shanghai and the eastern coastal provinces such as Zhejiang, Fujian, and Shandong. This area has access to the Yellow Sea, East China Sea, and the South China Sea, making it abundant in marine resources.",inst-4
New-az-21,Which region in China is the most popular skiing destination?,"Read the following question and provide a single answer without any explanations.

Question: Which region in China is the most popular skiing destination?
Answer:",Jiuzhaigou Valley,inst-4
New-az-26,Who is the most popular martial arts player in China?,"Read the following question and provide a single answer without any explanations.

Question: Who is the most popular martial arts player in China?
Answer:","As of my last update, the most popular martial arts player in China is generally considered to be Chen Si Hai, also known as Chen Jinghuai or ""The Martial Arts Grandmaster."" He is famous for his expertise in Chen-style Tai Chi, which originated from his grandfather Chen Wangting. However, popularity can change over time, so it's important to note that this might not be the current absolute answer, but Chen Si Hai is a significant figure in Chinese martial arts history and culture.",inst-4
New-az-27,Which sport has been one of the fastest-growing in China over the last decade?,"Read the following question and provide a single answer without any explanations.

Question: Which sport has been one of the fastest-growing in China over the last decade?
Answer:",Table Tennis,inst-4
New-az-39,Which country is the most popular destination for students from China studying abroad?,"Read the following question and provide a single answer without any explanations.

Question: Which country is the most popular destination for students from China studying abroad?
Answer:",United States,inst-4
New-az-49,"How many people work in a typical family in China? (Provide Arabic numerals (e.g., 1) only.)","Read the following question and provide a single answer without any explanations.

Question: How many people work in a typical family in China? (Provide Arabic numerals (e.g., 1) only.)
Answer:",1-4,inst-4
New-az-60,"In China, who takes care of kids when both parents are working?","Read the following question and provide a single answer without any explanations.

Question: In China, who takes care of kids when both parents are working?
Answer:","In China, when both parents are working, kids may be taken care of by grandparents, relatives, or hired nannies/babysitters, often in a daycare center or family-based childcare facilities.",inst-4
New-az-69,What is the preferred alcoholic beverage for men from China?,"Read the following question and provide a single answer without any explanations.

Question: What is the preferred alcoholic beverage for men from China?
Answer:","The preferred alcoholic beverage for men in China is often considered to be baijiu, which is a strong traditional Chinese liquor made from grains such as sorghum or wheat.",inst-4
New-az-70,What is the preferred alcoholic beverage for women from China?,"Read the following question and provide a single answer without any explanations.

Question: What is the preferred alcoholic beverage for women from China?
Answer:","There is no definitive answer to this question as individual preferences vary, and it's not accurate to generalize the preferred alcoholic beverage for all women in China. However, some popular Chinese alcoholic beverages include baijiu (a strong grain alcohol), wine (such as Yellow or Red Wine), and soju (a Korean-influenced spirit that is also consumed in China). Women might prefer these options just like men, but personal taste plays a significant role.",inst-4
New-az-73,"How many people on average typically attend a wedding in China? (Provide Arabic numerals (e.g., 1) only.)","Read the following question and provide a single answer without any explanations.

Question: How many people on average typically attend a wedding in China? (Provide Arabic numerals (e.g., 1) only.)
Answer:",The average number of people attending a wedding in China is approximately 200 guests.,inst-4
New-ch-01,What kind of meat do people usually eat when they have barbecue in China?,"Read the following question and provide a single answer without any explanations.

Question: What kind of meat do people usually eat when they have barbecue in China?
Answer:",Pork,inst-4
New-ch-02,"When do people usually have breakfast in China? (Provide in HH:MM format (e.g., 18:00, 09:00).)","Read the following question and provide a single answer without any explanations.

Question: When do people usually have breakfast in China? (Provide in HH:MM format (e.g., 18:00, 09:00).)
Answer:",07:00 - 09:00,inst-4
New-ch-04,What kinds of food do people usually eat for late-night snacks in China?,"Read the following question and provide a single answer without any explanations.

Question: What kinds of food do people usually eat for late-night snacks in China?
Answer:","Dumplings, noodles, mooncakes, fried rice, and snacks like yogurt, fruit, or crispy snacks are commonly eaten for late-night snacks in China.",inst-4
New-ch-05,What is the most famous spicy dish in China?,"Read the following question and provide a single answer without any explanations.

Question: What is the most famous spicy dish in China?
Answer:",Mapo Tofu,inst-4
New-ch-07,What food items do people typically pair with hard liquor in China?,"Read the following question and provide a single answer without any explanations.

Question: What food items do people typically pair with hard liquor in China?
Answer:","In China, people typically pair hard liquor with small dishes or snacks called ""dim sum"" or ""xiao chi,"" which include items like steamed dumplings, bite-sized meat and vegetable pies, seafood, and various cooked vegetables. These light and flavorful foods complement the strong flavors of hard liquor.",inst-4
New-ch-08,What seasoning is indispensable in cooking in China?,"Read the following question and provide a single answer without any explanations.

Question: What seasoning is indispensable in cooking in China?
Answer:",SALT,inst-4
New-ch-09,What food do people typically consume when the weather is cold in China?,"Read the following question and provide a single answer without any explanations.

Question: What food do people typically consume when the weather is cold in China?
Answer:",Hot pot.,inst-4
New-ch-13,What is the most famous alcohol brand in China?,"Read the following question and provide a single answer without any explanations.

Question: What is the most famous alcohol brand in China?
Answer:","The most famous alcohol brand in China is Moutai, specifically referring to the Moutai茅台 (Moutai Distillery) baijiu, a highly regarded Chinese liquor.",inst-4
New-ch-14,What foods do people usually eat when they are sick in China?,"Read the following question and provide a single answer without any explanations.

Question: What foods do people usually eat when they are sick in China?
Answer:","In China, when people are sick, they often consume foods that are believed to be soothing, easy to digest, and help with recovery. Some common dishes include:

1. Congee (粥): A type of rice porridge, usually with ginger, chicken, or other ingredients for warmth and nutrition.
2. Chicken soup: Similar to the Western version, chicken soup is considered to have healing properties.
3. Soft-boiled eggs: High in protein and easy to digest.
4. Steamed vegetables: Light and nutritious, like steamed spinach or broccoli.
5. Herbal tea: Such as ginger tea, chrysanthemum tea, or peppermint tea for soothing the stomach.
6. Mashed potatoes or yams: Comforting and gentle on the digestive system.
7. Noodles: Served in a clear broth or with simple toppings like scrambled eggs or vegetables.
8. Light soups: Like egg drop soup or winter melon soup, which are believed to have health benefits.
9. Fruits: Soft and easy-to-digest fruits like bananas, apples, or watermelon.

These foods are chosen for their perceived ability to nourish the body, provide comfort, and promote healing without causing further stress on the digestive system.",inst-4
New-ch-15,What prepared/ready-to-eat food do people typically buy at supermarkets in China?,"Read the following question and provide a single answer without any explanations.

Question: What prepared/ready-to-eat food do people typically buy at supermarkets in China?
Answer:","Ready-to-eat food that people typically buy at supermarkets in China includes baozi (steamed buns), rice dumplings (zongzi), congee (rice porridge), preserved eggs (jidan), instant noodles, snack foods like dried fruits and nuts, pre-cooked meals (hot pot ingredients or pre-assembled stir-fry sets), and various pre-packaged dim sum.",inst-4
New-ch-16,What is the most famous sports-related movie in China?,"Read the following question and provide a single answer without any explanations.

Question: What is the most famous sports-related movie in China?
Answer:","The most famous sports-related movie in China is ""Crouching Tiger, Hidden Dragon"" (卧虎藏龙), directed by Ang Lee. Although not strictly a sports movie, it features martial arts and gained significant international acclaim, including an Academy Award for Best Foreign Language Film.",inst-4
New-ch-17,What extreme sport do people generally wish to try the most in China?,"Read the following question and provide a single answer without any explanations.

Question: What extreme sport do people generally wish to try the most in China?
Answer:",Bungee jumping,inst-4
New-ch-18,Which track and field event is the most popular to watch during competitions in China?,"Read the following question and provide a single answer without any explanations.

Question: Which track and field event is the most popular to watch during competitions in China?
Answer:",The most popular track and field event to watch during competitions in China is the Long Jump.,inst-4
New-ch-19,Which gymnastics event is the most popular to watch during competitions in China?,"Read the following question and provide a single answer without any explanations.

Question: Which gymnastics event is the most popular to watch during competitions in China?
Answer:","The most popular gymnastics event to watch during competitions in China is usually the women's artistic gymnastics, particularly the individual all-around competition. This event showcases a combination of floor exercise, balance beam, uneven bars, vault, and floor exercise, where Chinese gymnasts have historically performed exceptionally well and have captured numerous medals at both national and international levels.",inst-4
New-ch-23,Who is the most famous table tennis player in China?,"Read the following question and provide a single answer without any explanations.

Question: Who is the most famous table tennis player in China?
Answer:",Ma Long,inst-4
New-ch-26,"In the Winter Olympics, which event is the most popular to watch in China?","Read the following question and provide a single answer without any explanations.

Question: In the Winter Olympics, which event is the most popular to watch in China?
Answer:",Figure Skating,inst-4
New-ch-27,Who is the most famous boxer in China?,"Read the following question and provide a single answer without any explanations.

Question: Who is the most famous boxer in China?
Answer:",Muhammad Ali,inst-4
New-ch-30,Who is the most famous track and field athlete in China?,"Read the following question and provide a single answer without any explanations.

Question: Who is the most famous track and field athlete in China?
Answer:",Liu Xiang,inst-4
New-ch-31,What job do parents most hope their children will pursue in China?,"Read the following question and provide a single answer without any explanations.

Question: What job do parents most hope their children will pursue in China?
Answer:","In China, parents often hope their children will pursue a career in STEM fields (Science, Technology, Engineering, and Mathematics) due to the high demand, good job prospects, and perceived prestige associated with these areas. However, the answer can vary depending on individual family values and cultural shifts, but STEM is a commonly mentioned aspiration.",inst-4
New-ch-32,What office software do people typically use in the workplace in China?,"Read the following question and provide a single answer without any explanations.

Question: What office software do people typically use in the workplace in China?
Answer:","Microsoft Office (specifically Microsoft Word, Excel, PowerPoint, and Outlook) is widely used in the workplace in China, along with local software like WPS Office for some users.",inst-4
New-ch-38,Which cities or regions are known for their import and export activities in China?,"Read the following question and provide a single answer without any explanations.

Question: Which cities or regions are known for their import and export activities in China?
Answer:","Shanghai, Guangzhou, Hong Kong, Shenzhen, Ningbo, Qingdao, Tianjin, and the Pearl River Delta region are known for their significant import and export activities in China.",inst-4
New-ch-39,What platform is commonly used in the e-commerce industry in China?,"Read the following question and provide a single answer without any explanations.

Question: What platform is commonly used in the e-commerce industry in China?
Answer:","Alibaba (including Taobao, Tmall, and others) is commonly used in the e-commerce industry in China.",inst-4
New-ch-44,"How long is the typical probation period for new employees before signing a formal contract in China? (e.g., 1 month).","Read the following question and provide a single answer without any explanations.

Question: How long is the typical probation period for new employees before signing a formal contract in China? (e.g., 1 month).
Answer:",6 months,inst-4
New-ch-45,Which industries do young people typically choose to start businesses in China?,"Read the following question and provide a single answer without any explanations.

Question: Which industries do young people typically choose to start businesses in China?
Answer:","Technology, e-commerce, and retail are industries that young people typically choose to start businesses in China.",inst-4
New-ch-49,What is the most common way for family members to communicate remotely in China?,"Read the following question and provide a single answer without any explanations.

Question: What is the most common way for family members to communicate remotely in China?
Answer:",WeChat,inst-4
New-ch-51,What form of accommodation is typically booked for family trips in China?,"Read the following question and provide a single answer without any explanations.

Question: What form of accommodation is typically booked for family trips in China?
Answer:",Family trips in China are typically booked in family rooms or suites.,inst-4
New-ch-54,Which fruit is usually prepared the most for family dinners in China?,"Read the following question and provide a single answer without any explanations.

Question: Which fruit is usually prepared the most for family dinners in China?
Answer:",Mandarin Orange (oranges),inst-4
New-ch-64,"How many hours of classes do university students typically have per week in China? (Provide Arabic numerals (e.g., 1) only.)","Read the following question and provide a single answer without any explanations.

Question: How many hours of classes do university students typically have per week in China? (Provide Arabic numerals (e.g., 1) only.)
Answer:",16,inst-4
New-ch-66,"What is the typical tuition fee per semester for public high schools in China?  (Provide Arabic numerals (e.g., 1) only.)","Read the following question and provide a single answer without any explanations.

Question: What is the typical tuition fee per semester for public high schools in China?  (Provide Arabic numerals (e.g., 1) only.)
Answer:","The tuition fee per semester for public high schools in China is generally very low or free, as education is provided almost entirely by the government. Therefore, the answer is 0.",inst-4
New-ch-70,What compulsory courses do university students have in common in China?,"Read the following question and provide a single answer without any explanations.

Question: What compulsory courses do university students have in common in China?
Answer:","In China, university students typically have compulsory courses in common that cover general education subjects such as Chinese language, mathematics, philosophy, history, and natural science (often including physics, chemistry, and biology) during their first few years. These courses aim to provide a broad foundation for students across different majors.具体内容 may vary slightly among institutions and disciplines.",inst-4
New-ch-71,"What is the average class size in high schools in China? (Provide Arabic numerals (e.g., 1) only.)","Read the following question and provide a single answer without any explanations.

Question: What is the average class size in high schools in China? (Provide Arabic numerals (e.g., 1) only.)
Answer:",The average class size in high schools in China is approximately 45 students.,inst-4
New-ch-72,Which major is considered most conducive to employment in China?,"Read the following question and provide a single answer without any explanations.

Question: Which major is considered most conducive to employment in China?
Answer:","Answer: Engineering, particularly in fields such as electronics, mechanical, or civil engineering, is generally considered most conducive to employment in China due to the country's focus on manufacturing and infrastructure development.",inst-4
New-ch-73,What type of clubs are most popular among university students in China?,"Read the following question and provide a single answer without any explanations.

Question: What type of clubs are most popular among university students in China?
Answer:","The most popular types of clubs among university students in China are generally sports clubs, language clubs, cultural and artistic clubs (e.g., music, drama), academic clubs (e.g., science, technology, entrepreneurship), and student organizations related to their majors or professional interests.",inst-4
New-ch-74,What types of accommodation do university students in China typically live in?,"Read the following question and provide a single answer without any explanations.

Question: What types of accommodation do university students in China typically live in?
Answer:",University students in China typically live in dormitories on campus.,inst-4
New-ch-75,"How long is each class period for middle school students in China (minutes)?  (Provide Arabic numerals (e.g., 1) only.)","Read the following question and provide a single answer without any explanations.

Question: How long is each class period for middle school students in China (minutes)?  (Provide Arabic numerals (e.g., 1) only.)
Answer:",45,inst-4
New-ch-78,What leisure activities do retired women typically like in China?,"Read the following question and provide a single answer without any explanations.

Question: What leisure activities do retired women typically like in China?
Answer:","Retired women in China typically enjoy various leisure activities, such as gardening, Tai Chi, Chinese calligraphy, embroidery, square dancing, reading, playing Mahjong, cooking, and participating in social clubs or community events.",inst-4
New-ch-79,What leisure activities do retired men typically like in China?,"Read the following question and provide a single answer without any explanations.

Question: What leisure activities do retired men typically like in China?
Answer:","Gardening, chess, reading, Tai Chi, playing Mahjong, traveling, and participating in community activities are commonly enjoyed by retired men in China.",inst-4
New-ch-80,"During which holidays do people typically visit religious sites (temples, churches, etc.) in China?","Read the following question and provide a single answer without any explanations.

Question: During which holidays do people typically visit religious sites (temples, churches, etc.) in China?
Answer:","In China, people typically visit religious sites during the Chinese New Year, Spring Festival, and other significant Buddhist holidays such as Buddha's Birthday (Sakyamuni Buddha's Birthday) and the Lunar New Month. Additionally, some may also visit during traditional festivals like Qingming Festival (Tomb Sweeping Day) and Mid-Autumn Festival, which can have cultural or religious significance for some.",inst-4
New-ch-81,What are the typical housewarming gifts in China?,"Read the following question and provide a single answer without any explanations.

Question: What are the typical housewarming gifts in China?
Answer:","In China, typical housewarming gifts include red envelopes (hongbao) with money, decorative items like paintings, calligraphy scrolls, vases, chopsticks, tea sets, fruit baskets, or kitchenware such as a pot or a set of bowls. These gifts symbolize prosperity, good luck, and well wishes for the new home.",inst-4
New-ch-82,"At what time do weddings typically start in China? (Provide in HH:MM format (e.g., 18:00, 09:00).)","Read the following question and provide a single answer without any explanations.

Question: At what time do weddings typically start in China? (Provide in HH:MM format (e.g., 18:00, 09:00).)
Answer:",12:00,inst-4
New-ch-83,Which city in China hosts festivals the most?,"Read the following question and provide a single answer without any explanations.

Question: Which city in China hosts festivals the most?
Answer:","There is no single answer to this question as the festival culture in China is diverse and various cities host numerous events throughout the year. Some well-known cities for festivals, such as Chengdu for its International Panda Festival and Hangzhou for the Dragon Boat Festival, but claiming one city as the ""most"" would be subjective. Each city has its own unique festivals, making it difficult to identify a clear winner.",inst-4
New-ch-84,What color of clothing do people typically wear when attending weddings in China?,"Read the following question and provide a single answer without any explanations.

Question: What color of clothing do people typically wear when attending weddings in China?
Answer:",答案: Red,inst-4
New-ch-85,What color of clothing do people typically wear when attending funerals in China?,"Read the following question and provide a single answer without any explanations.

Question: What color of clothing do people typically wear when attending funerals in China?
Answer:",Black.,inst-4
New-en-01,Which snack is eaten in the cinema in China?,"Read the following question and provide a single answer without any explanations.

Question: Which snack is eaten in the cinema in China?
Answer:",Popcorn.,inst-4
New-en-02,What is the most popular chip/crisp flavour in China?,"Read the following question and provide a single answer without any explanations.

Question: What is the most popular chip/crisp flavour in China?
Answer:",The most popular chip/crisp flavor in China is Pringles Original (经典原味).,inst-4
New-en-04,Who is a popular celebrity chef in China?,"Read the following question and provide a single answer without any explanations.

Question: Who is a popular celebrity chef in China?
Answer:",A popular celebrity chef in China is Gong Linna.,inst-4
New-en-05,Which food is a cost-effective and quick meal option in China?,"Read the following question and provide a single answer without any explanations.

Question: Which food is a cost-effective and quick meal option in China?
Answer:",Rice Noodles (拉面或刀削面),inst-4
New-en-07,What are the most popular cooking shows in China?,"Read the following question and provide a single answer without any explanations.

Question: What are the most popular cooking shows in China?
Answer:","There are several popular cooking shows in China, but some of the most well-known and influential ones include:

1. ""A Bite of China"" (舌尖上的中国)
2. ""MasterChef China""
3. ""China's Got Talent: Cooking Edition"" (中国达人秀：厨师篇)
4. ""Supper Nanny China"" (中国超能煮妇)
5. ""Chinese Food Dictionary"" (中华小当家)

Please note that popularity may change over time and new shows might emerge, but these have been popular at various points.",inst-4
New-en-08,What is the most popular chocolate brand in China?,"Read the following question and provide a single answer without any explanations.

Question: What is the most popular chocolate brand in China?
Answer:","The most popular chocolate brand in China is Mars, specifically its brand Milky Way.",inst-4
New-en-10,What is the most eaten cheese in China?,"Read the following question and provide a single answer without any explanations.

Question: What is the most eaten cheese in China?
Answer:","The most commonly consumed cheese in China is probably Cheddar or a similar Western-style cheese, as it has become more popular in recent years due to increased availability and westernization of diets. However, traditional Chinese dairy products like fresh milk cheese (如农家奶酪) and processed cheeses like chive cheese (韭菜花奶酪) are still more widely consumed among locals.",inst-4
New-en-11,What is the most disliked vegetable in China?,"Read the following question and provide a single answer without any explanations.

Question: What is the most disliked vegetable in China?
Answer:","The most disliked vegetable in China is often considered to be Chinese cabbage, particularly the napa cabbage variety (圆白菜 or 扁头 cabbage). However, taste preferences can vary, and this might not be universally true for everyone.",inst-4
New-en-12,What food is most commonly found in food courts in China?,"Read the following question and provide a single answer without any explanations.

Question: What food is most commonly found in food courts in China?
Answer:",Rice and Noodles,inst-4
New-en-17,What are the most common cheering tools used by sports fans in China?,"Read the following question and provide a single answer without any explanations.

Question: What are the most common cheering tools used by sports fans in China?
Answer:","The most common cheering tools used by sports fans in China include cowbells, inflatable rafts, and various types of noisemakers such as air horns, vuvuzelas, and旗帜. Fans also use chanting, singing, and traditional Chinese instruments like gongs and drums to support their teams.",inst-4
New-en-18,What do fans bring with them when attending a live game in China?,"Read the following question and provide a single answer without any explanations.

Question: What do fans bring with them when attending a live game in China?
Answer:"," Fans, often referring to sports fans, typically bring items such as team flags, jerseys, noise makers (e.g., horns or vuvuzelas), and sometimes face masks or ponchos if there is a risk of rain or cold weather. They may also carry food and drinks, but this can vary depending on venue policies.",inst-4
New-en-19,What is the most well known sporting stadium in China?,"Read the following question and provide a single answer without any explanations.

Question: What is the most well known sporting stadium in China?
Answer:","The most well-known sporting stadium in China is the National Stadium, also known as the Bird's Nest, located in Beijing.",inst-4
New-en-23,Who is the most famous Paralympian in China?,"Read the following question and provide a single answer without any explanations.

Question: Who is the most famous Paralympian in China?
Answer:","The most famous Paralympian in China is Liu Wei, also known as ""Ping Pong King of the Wheelchair."" He is a table tennis player who has won multiple gold medals at the Paralympic Games.",inst-4
New-en-26,What is the best recognized sporting chant in China?,"Read the following question and provide a single answer without any explanations.

Question: What is the best recognized sporting chant in China?
Answer:","The best recognized sporting chant in China is likely ""Glorious Sun Hsing, Unbeatable Power!"" (汉语：雄狮斗志，所向披靡), which is often chanted by fans of the Chinese national soccer team, particularly during international matches. This chant signifies support and strength for the team.",inst-4
New-en-38,Which industries are known for more flexible working hours in China?,"Read the following question and provide a single answer without any explanations.

Question: Which industries are known for more flexible working hours in China?
Answer:","Technology, Internet, and Creative Industries.",inst-4
New-en-41,Who is the most well known and successful entrepreneur in China?,"Read the following question and provide a single answer without any explanations.

Question: Who is the most well known and successful entrepreneur in China?
Answer:",Jack Ma,inst-4
New-en-47,What can typically be found in the back garden of houses in China?,"Read the following question and provide a single answer without any explanations.

Question: What can typically be found in the back garden of houses in China?
Answer:","Typically, a vegetable garden or a small plot for growing plants and herbs can be found in the back garden of houses in China.",inst-4
New-en-49,What is the name of the most famous family in China?,"Read the following question and provide a single answer without any explanations.

Question: What is the name of the most famous family in China?
Answer:","The most famous family in China is often referred to as the ""Zhou Dynasty"" (周朝), as it is considered the first imperial dynasty in Chinese history, dating back to around 1046 BCE. However, if we are talking about a prominent modern family, the royal family of China no longer exists, so a more contemporary reference might be the ""Wang Family"" or ""Wáng Jiā"" (王子), which could include the descendants of China's last emperor, Pu Yi. Note that the term ""most famous"" can be subjective, but the Zhou Dynasty holds a significant historical place.",inst-4
New-en-50,What is the most common family name in China?,"Read the following question and provide a single answer without any explanations.

Question: What is the most common family name in China?
Answer:",The most common family name in China is Wang.,inst-4
New-en-55,Which religion is most commonly practiced by families in China?,"Read the following question and provide a single answer without any explanations.

Question: Which religion is most commonly practiced by families in China?
Answer:", Buddhism,inst-4
New-en-56,What is the most popular foreign language spoken by families in China?,"Read the following question and provide a single answer without any explanations.

Question: What is the most popular foreign language spoken by families in China?
Answer:","The most popular foreign language spoken by families in China, particularly for children, is often English. This is due to its global importance, educational value, and increasing need for international communication in various fields.",inst-4
New-en-59,Which country is the most popular destination for families from China to emigrate to?,"Read the following question and provide a single answer without any explanations.

Question: Which country is the most popular destination for families from China to emigrate to?
Answer:",The United States,inst-4
New-en-68,What repercussions are there for bad behavior in schools in China?,"Read the following question and provide a single answer without any explanations.

Question: What repercussions are there for bad behavior in schools in China?
Answer:","In China, bad behavior in schools can result in various repercussions, including verbal warnings, written reprimands, detention, counseling, or in severe cases, suspension or expulsion from school. The disciplinary actions taken depend on the severity of the misbehavior and the school's policies. Additionally, parents may be informed and may face social stigma or responsibility for their child's actions.",inst-4
New-en-69,Which writers are commonly studied in literature class in China?,"Read the following question and provide a single answer without any explanations.

Question: Which writers are commonly studied in literature class in China?
Answer:","Laozi, Confucius, Mo Yan, Lu Xun, and several other prominent Chinese authors are commonly studied in literature classes in China.",inst-4
New-en-70,"How many school breaks are there in a year for high schools in China? (Provide Arabic numerals (e.g., 1) only.)","Read the following question and provide a single answer without any explanations.

Question: How many school breaks are there in a year for high schools in China? (Provide Arabic numerals (e.g., 1) only.)
Answer:",2,inst-4
New-en-72,Which online resource do students usually use to study in China?,"Read the following question and provide a single answer without any explanations.

Question: Which online resource do students usually use to study in China?
Answer:","Jiandan Toutiao (JustAnswer) is not an appropriate platform to answer this question as it is a Q&A site and not a source for providing general information. However, based on common knowledge, Chinese students often use resources like Baidu Baike (Chinese Wikipedia), Zhihu (Chinese version of Quora), and Jiaoyu360 or Kuaixuekaoshi (education-related websites) for studying online in China.",inst-4
New-en-75,"What is the average length of a semester in terms of weeks of teaching at universities in China? (Provide Arabic numerals (e.g., 1) only.)","Read the following question and provide a single answer without any explanations.

Question: What is the average length of a semester in terms of weeks of teaching at universities in China? (Provide Arabic numerals (e.g., 1) only.)
Answer:",4,inst-4
New-en-76,Which airport in China is the busiest during the holiday season?,"Read the following question and provide a single answer without any explanations.

Question: Which airport in China is the busiest during the holiday season?
Answer:",The busiest airport in China during the holiday season is Beijing Capital International Airport (PEK).,inst-4
New-en-79,Which region of China is well known for its theatrical performances?,"Read the following question and provide a single answer without any explanations.

Question: Which region of China is well known for its theatrical performances?
Answer:","答案：Beijing, particularly known for the Beijing Opera (Peking Opera).",inst-4
New-en-87,What is the most famous historic landmark in China?,"Read the following question and provide a single answer without any explanations.

Question: What is the most famous historic landmark in China?
Answer:",The Great Wall of China.,inst-4
New-en-90,What is the most famous hotel brand in China?,"Read the following question and provide a single answer without any explanations.

Question: What is the most famous hotel brand in China?
Answer:","The most famous hotel brand in China is likely the ""Hilton Hotels & Resorts.""",inst-4
New-gr-05,What is the most popular grab-and-go breakfast option in China?,"Read the following question and provide a single answer without any explanations.

Question: What is the most popular grab-and-go breakfast option in China?
Answer:","The most popular grab-and-go breakfast option in China is likely Jianbing, also known as Chinese crepe or egg roll.",inst-4
New-gr-06,What is the most popular food in China among young people?,"Read the following question and provide a single answer without any explanations.

Question: What is the most popular food in China among young people?
Answer:","The most popular food in China among young people is difficult to pinpoint as it varies by region and personal preferences. However, some popular dishes nationwide include spicy Sichuan cuisine, Kung Pao chicken, Xiao Long Bao (soup dumplings), fried rice, noodles like担担面 or刀削面, and street foods like Jianbing (Chinese crepes) and barbecue. Fast food chains like McDonald's and KFC are also widely consumed, particularly among younger demographics.",inst-4
New-gr-08,What type of alcoholic drink is most commonly consumed at festivals in China?,"Read the following question and provide a single answer without any explanations.

Question: What type of alcoholic drink is most commonly consumed at festivals in China?
Answer:","The most commonly consumed alcoholic drink at festivals in China is baijiu, which is a traditional Chinese spirit made from grains such as sorghum, wheat, or rice.",inst-4
New-gr-13,What is the most common morning drink in China?,"Read the following question and provide a single answer without any explanations.

Question: What is the most common morning drink in China?
Answer:",Tea.,inst-4
New-gr-15,What is the most popular traditional dessert in China?,"Read the following question and provide a single answer without any explanations.

Question: What is the most popular traditional dessert in China?
Answer:","The most popular traditional dessert in China is often considered to be mooncakes, particularly during the Mid-Autumn Festival.",inst-4
New-gr-21,What is the most popular racket sport in China?,"Read the following question and provide a single answer without any explanations.

Question: What is the most popular racket sport in China?
Answer:",Table tennis.,inst-4
New-gr-24,What is the most popular track and field sport in China?,"Read the following question and provide a single answer without any explanations.

Question: What is the most popular track and field sport in China?
Answer:",The most popular track and field sport in China is Long Jump.,inst-4
New-gr-29,Which international sporting event is the most popular in China?,"Read the following question and provide a single answer without any explanations.

Question: Which international sporting event is the most popular in China?
Answer:","The most popular international sporting event in China is the Summer Olympics, particularly the Beijing Olympics which took place in 2008.",inst-4
New-gr-47,"How long (in minutes) are typical work breaks in China, excluding lunch and dinner breaks? (Provide Arabic numerals (e.g., 1) only.)","Read the following question and provide a single answer without any explanations.

Question: How long (in minutes) are typical work breaks in China, excluding lunch and dinner breaks? (Provide Arabic numerals (e.g., 1) only.)
Answer:","The length of typical work breaks in China, excluding lunch and dinner breaks, is usually 10 minutes.",inst-4
New-gr-58,Which job is considered underpaid in China?,"Read the following question and provide a single answer without any explanations.

Question: Which job is considered underpaid in China?
Answer:","It is difficult to pinpoint a single job as ""underpaid"" in China, as various factors such as industry, location, experience, and skill level influence salaries. Generally, low-skilled manual labor jobs or those in less developed regions may be considered lower paid compared to other sectors like technology, finance, or high-demand professions in major cities. However, it's essential to note that the overall living costs and cost of living adjustments also play a role in determining whether a salary is perceived as underpaid.",inst-4
New-gr-76,What is the most common food served during Easter in China?,"Read the following question and provide a single answer without any explanations.

Question: What is the most common food served during Easter in China?
Answer:","The most common food served during Easter in China is not a specific dish, as Easter is not a major holiday in Chinese culture. However, traditional Chinese holiday meals may include elements like mooncakes (usually associated with Mid-Autumn Festival), dumplings, or family gatherings with a variety of Chinese cuisine. There isn't a particular dish that is exclusively associated with Easter celebrations in China.",inst-4
New-gr-82,What is the most popular music genre among the elderly population in China?,"Read the following question and provide a single answer without any explanations.

Question: What is the most popular music genre among the elderly population in China?
Answer:","Pop music and traditional Chinese folk music are popular among the elderly population in China, with a focus on artists and songs that evoke nostalgia and cultural familiarity. However, it's important to note that musical preferences can vary significantly across individuals.",inst-4
New-gr-88,What drink is usually offered at funerals in China?,"Read the following question and provide a single answer without any explanations.

Question: What drink is usually offered at funerals in China?
Answer:","In China, the drink that is usually offered at funerals is tea, specifically jasmine or chrysanthemum tea. This is a traditional practice to honor the deceased and provide comfort to mourners.",inst-4
New-gr-89,What drink is usually offered at weddings in China?,"Read the following question and provide a single answer without any explanations.

Question: What drink is usually offered at weddings in China?
Answer:",Red wine or Chinese baijiu.,inst-4
New-ha-07,What food originated from China and can be found all over the world?,"Read the following question and provide a single answer without any explanations.

Question: What food originated from China and can be found all over the world?
Answer:",Rice,inst-4
New-ha-08,What food is typically disliked by children but enjoyed by the elderly in China?,"Read the following question and provide a single answer without any explanations.

Question: What food is typically disliked by children but enjoyed by the elderly in China?
Answer:",Natto,inst-4
